"censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag"
1977-09-11,9,12,1977,"control",16,74,"PF",NA,NA,NA,"0","0"
1977-09-11,9,12,1977,"control",17,13,"DM","M",36,46,"0","0"
1977-09-11,9,12,1977,"control",17,25,"DM","F",33,37,"0","0"
1977-09-11,9,12,1977,"control",17,32,"DS","M",47,NA,"0","0"
1977-09-11,9,12,1977,"control",17,55,"DS","F",52,NA,"0","0"
1977-09-11,9,12,1977,"control",17,56,"DM","F",32,48,"0","0"
1977-09-11,9,12,1977,"control",17,72,"DM","F",35,42,"0","0"
1977-09-11,9,11,1977,"control",18,67,"DM","M",33,44,"0","0"
1977-09-11,9,11,1977,"control",19,24,"DS","F",50,NA,"0","0"
1977-09-11,9,11,1977,"control",19,55,"DM","M",33,40,"0","0"
1977-09-11,9,11,1977,"control",19,77,"DM","F",34,35,"0","0"
1977-09-11,9,11,1977,"control",20,11,"DM","M",36,37,"0","0"
1977-09-11,9,11,1977,"control",20,41,"DM","F",36,41,"0","0"
1977-09-11,9,11,1977,"control",20,74,"DM","M",35,33,"0","0"
1977-09-11,9,11,1977,"control",20,76,"DS","M",52,NA,"0","0"
1977-09-11,9,11,1977,"control",21,16,"DM","M",37,NA,"0","0"
1977-09-11,9,11,1977,"control",21,74,"DS","M",49,NA,"0","0"
1977-09-11,9,11,1977,"control",22,12,"DM","M",36,48,"0","0"
1977-09-11,9,11,1977,"control",22,22,"DM","F",36,36,"0","0"
1977-09-11,9,11,1977,"control",22,42,"PF","F",NA,8,"0","0"
1977-09-11,9,12,1977,"control",23,64,"DS","F",52,NA,"0","0"
1977-09-11,9,NA,1977,NA,24,NA,NA,NA,NA,NA,NA,NA
1977-10-16,10,16,1977,"control",1,34,"DM","M",37,40,"0","0"
1977-10-16,10,16,1977,"control",1,56,"DM","F",36,38,"0","0"
1977-10-16,10,16,1977,"control",1,64,"DS","F",50,NA,"0","0"
1977-10-16,10,16,1977,"control",1,75,"DM","M",36,53,"0","0"
1977-10-16,10,16,1977,"control",2,13,"DM","M",37,39,"0","0"
1977-10-16,10,16,1977,"control",2,14,"DS","M",54,NA,"0","0"
1977-10-16,10,16,1977,"control",2,16,"DM","M",36,49,"0","0"
1977-10-16,10,16,1977,"control",2,27,"DM","M",37,47,"0","0"
1977-10-16,10,16,1977,"control",2,31,"DM","M",36,41,"0","0"
1977-10-16,10,16,1977,"control",2,47,"DM","F",36,55,"0","0"
1977-10-16,10,16,1977,"control",2,66,"PE","F",19,NA,"0","0"
1977-10-16,10,17,1977,"exclosure",3,22,"DO","F",36,33,"0","0"
1977-10-16,10,17,1977,"exclosure",3,24,"DO","F",37,50,"0","0"
1977-10-16,10,17,1977,"exclosure",3,36,"DM","M",36,31,"0","0"
1977-10-16,10,17,1977,"exclosure",3,62,"DM","M",36,39,"0","0"
1977-10-16,10,17,1977,"control",4,23,"DM","F",36,42,"0","0"
1977-10-16,10,17,1977,"control",4,51,"DS","F",48,NA,"0","0"
1977-10-16,10,17,1977,"control",4,75,"DS","F",47,NA,"0","0"
1977-10-16,10,18,1977,"control",5,17,"DS","F",47,NA,"0","0"
1977-10-16,10,18,1977,"control",5,21,"DM","M",37,43,"0","0"
1977-10-16,10,18,1977,"control",5,24,"DM","F",37,45,"0","0"
1977-10-16,10,18,1977,"control",5,25,"DS","M",52,NA,"0","0"
1977-10-16,10,18,1977,"control",5,56,"DS","M",50,NA,"0","0"
1977-10-16,10,16,1977,"control",6,12,"DM","F",38,44,"0","0"
1977-10-16,10,16,1977,"control",6,17,"DS","F",53,NA,"0","0"
1977-10-16,10,16,1977,"control",6,26,"DM","M",36,41,"0","0"
1977-10-16,10,16,1977,"control",6,32,"DM","M",36,45,"0","0"
1977-10-16,10,16,1977,"control",6,51,"DM","M",37,46,"0","0"
1977-10-16,10,16,1977,"control",6,74,"DM","M",34,36,"0","0"
1977-10-16,10,NA,1977,"removal",7,NA,NA,NA,NA,NA,NA,NA
1977-10-16,10,18,1977,"control",8,11,"DS","F",50,NA,"0","0"
1977-10-16,10,18,1977,"control",8,36,"DO","F",35,41,"0","0"
1977-10-16,10,18,1977,"control",8,52,"DS","F",49,NA,"0","0"
1977-10-16,10,16,1977,"control",9,34,"DS","F",49,NA,"0","0"
1977-10-16,10,16,1977,"control",9,35,"DM","M",38,49,"0","0"
1977-10-16,10,16,1977,"control",9,56,"DS","F",50,NA,"0","0"
1977-10-16,10,16,1977,"control",9,61,"DM","M",37,44,"0","0"
1977-10-16,10,16,1977,"control",9,65,"DS","M",50,NA,"0","0"
1977-10-16,10,NA,1977,"removal",10,NA,NA,NA,NA,NA,NA,NA
1977-10-16,10,17,1977,"control",11,16,"DS","F",47,NA,"0","0"
1977-10-16,10,17,1977,"control",11,24,"DM","M",36,41,"0","0"
1977-10-16,10,17,1977,"control",11,52,"DS",NA,NA,NA,"0","0"
1977-10-16,10,17,1977,"control",11,53,"DM","F",36,42,"0","0"
1977-10-16,10,18,1977,"control",12,21,"DS","F",50,NA,"0","0"
1977-10-16,10,18,1977,"control",12,22,"PF","M",16,8,"0","0"
1977-10-16,10,18,1977,"control",12,27,"DM","M",36,40,"0","0"
1977-10-16,10,18,1977,"control",12,51,"DM","M",37,41,"0","0"
1977-10-16,10,18,1977,"control",12,54,"DM","F",36,39,"0","0"
1977-10-16,10,16,1977,"control",13,13,"DM","M",37,47,"0","0"
1977-10-16,10,16,1977,"control",13,15,"DM","M",36,42,"0","0"
1977-10-16,10,16,1977,"control",13,74,"DM","M",37,44,"0","0"
1977-10-16,10,17,1977,"control",14,15,"DM","M",38,47,"0","0"
1977-10-16,10,17,1977,"control",14,33,"DS","F",NA,NA,"0","0"
1977-10-16,10,17,1977,"control",14,42,"DM","F",35,40,"0","0"
